invoice_id,vendor_id,po_id,date,due_date,amount_cents,status
AP-00001,VEN-001,PO-00001,2025-01-28,2025-02-27,94676,posted
AP-00002,VEN-002,PO-00002,2025-01-28,2025-02-27,112838,posted
AP-00003,VEN-003,PO-00003,2025-01-28,2025-02-27,134999,posted
AP-00004,VEN-004,PO-00004,2025-01-28,2025-02-27,152540,posted
AP-00005,VEN-005,PO-00005,2025-01-28,2025-02-27,170777,posted
AP-00006,VEN-006,PO-00006,2025-01-28,2025-02-27,191578,posted
AP-00007,VEN-007,PO-00007,2025-01-28,2025-02-27,214811,posted
AP-00008,VEN-008,PO-00008,2025-01-28,2025-02-27,230791,posted
AP-00009,VEN-009,PO-00009,2025-01-28,2025-02-27,252384,posted
AP-00010,VEN-010,PO-00010,2025-01-28,2025-02-27,272923,posted
AP-00011,VEN-011,PO-00011,2025-01-28,2025-02-27,90913,posted
AP-00012,VEN-012,PO-00012,2025-01-28,2025-02-27,110725,posted
AP-00013,VEN-013,PO-00013,2025-01-28,2025-02-27,134121,posted
AP-00014,VEN-014,PO-00014,2025-01-28,2025-02-27,154228,posted
AP-00015,VEN-015,PO-00015,2025-01-28,2025-02-27,171120,posted
AP-00016,VEN-016,PO-00016,2025-01-28,2025-02-27,190181,posted
AP-00017,VEN-017,PO-00017,2025-01-28,2025-02-27,211935,posted
AP-00018,VEN-018,PO-00018,2025-01-28,2025-02-27,234203,posted
AP-00019,VEN-019,PO-00019,2025-01-28,2025-02-27,253321,posted
AP-00020,VEN-020,PO-00020,2025-01-28,2025-02-27,274049,posted
AP-00021,VEN-021,PO-00021,2025-01-28,2025-02-27,91484,posted
AP-00022,VEN-022,PO-00022,2025-01-28,2025-02-27,113394,posted
AP-00023,VEN-023,PO-00023,2025-01-28,2025-02-27,131828,posted
AP-00024,VEN-024,PO-00024,2025-01-28,2025-02-27,154247,posted
AP-00025,VEN-025,PO-00025,2025-01-28,2025-02-27,171212,posted
AP-00026,VEN-026,PO-00026,2025-01-28,2025-02-27,191888,posted
AP-00027,VEN-027,PO-00027,2025-01-28,2025-02-27,211072,posted
AP-00028,VEN-028,PO-00028,2025-01-28,2025-02-27,234840,posted
AP-00029,VEN-029,PO-00029,2025-01-28,2025-02-27,251001,posted
AP-00030,VEN-030,PO-00030,2025-01-28,2025-02-27,270750,posted
AP-00031,VEN-031,PO-00031,2025-01-28,2025-02-27,92496,posted
AP-00032,VEN-032,PO-00032,2025-01-28,2025-02-27,110751,posted
AP-00033,VEN-033,PO-00033,2025-01-28,2025-02-27,133521,posted
AP-00034,VEN-034,PO-00034,2025-01-28,2025-02-27,153239,posted
AP-00035,VEN-035,PO-00035,2025-01-28,2025-02-27,174460,posted
AP-00036,VEN-036,PO-00036,2025-01-28,2025-02-27,193397,posted
