payroll_id,date,gross_cents,withholding_cents,employer_cents,net_cents
PAY-001,2025-01-31,43800000,8760000,3504000,35040000
PAY-002,2025-02-28,43800000,8760000,3504000,35040000
PAY-003,2025-03-31,43800000,8760000,3504000,35040000
PAY-004,2025-04-30,43800000,8760000,3504000,35040000
PAY-005,2025-05-31,43800000,8760000,3504000,35040000
PAY-006,2025-06-30,43800000,8760000,3504000,35040000
PAY-007,2025-07-31,43800000,8760000,3504000,35040000
PAY-008,2025-08-31,43800000,8760000,3504000,35040000
PAY-009,2025-09-30,43800000,8760000,3504000,35040000
PAY-010,2025-10-31,43800000,8760000,3504000,35040000
PAY-011,2025-11-30,43800000,8760000,3504000,35040000
PAY-012,2025-12-31,43800000,8760000,3504000,35040000
PAY-013,2026-01-31,43800000,8760000,3504000,35040000
PAY-014,2026-02-28,43800000,8760000,3504000,35040000
PAY-015,2026-03-31,43800000,8760000,3504000,35040000
PAY-016,2026-04-30,43800000,8760000,3504000,35040000
PAY-017,2026-05-31,43800000,8760000,3504000,35040000
PAY-018,2026-06-30,43800000,8760000,3504000,35040000
