trial_balance_id,date,account,balance_cents
TB-2025-01-1000,2025-01-31,1000,1090516500
TB-2025-01-1100,2025-01-31,1100,74500000
TB-2025-01-1110,2025-01-31,1110,30000000
TB-2025-01-1200,2025-01-31,1200,64612372
TB-2025-01-1300,2025-01-31,1300,3300000
TB-2025-01-1500,2025-01-31,1500,0
TB-2025-01-1510,2025-01-31,1510,0
TB-2025-01-2000,2025-01-31,2000,-10901601
TB-2025-01-2100,2025-01-31,2100,-12264000
TB-2025-01-2200,2025-01-31,2200,-56100000
TB-2025-01-2300,2025-01-31,2300,0
TB-2025-01-3000,2025-01-31,3000,-1200000000
TB-2025-01-4000,2025-01-31,4000,-41100000
TB-2025-01-4010,2025-01-31,4010,-1072372
TB-2025-01-5000,2025-01-31,5000,10901601
TB-2025-01-5100,2025-01-31,5100,43800000
TB-2025-01-5110,2025-01-31,5110,3504000
TB-2025-01-5200,2025-01-31,5200,300000
TB-2025-01-5300,2025-01-31,5300,0
TB-2025-01-5400,2025-01-31,5400,3500
TB-2025-02-1000,2025-02-28,1000,1062724572
TB-2025-02-1100,2025-02-28,1100,82891548
TB-2025-02-1110,2025-02-28,1110,28387867
TB-2025-02-1200,2025-02-28,1200,65232722
TB-2025-02-1300,2025-02-28,1300,3000000
TB-2025-02-1500,2025-02-28,1500,0
TB-2025-02-1510,2025-02-28,1510,0
TB-2025-02-2000,2025-02-28,2000,-11754766
TB-2025-02-2100,2025-02-28,2100,-12264000
TB-2025-02-2200,2025-02-28,2200,-51000000
TB-2025-02-2300,2025-02-28,2300,0
TB-2025-02-3000,2025-02-28,3000,-1200000000
TB-2025-02-4000,2025-02-28,4000,-82200000
TB-2025-02-4010,2025-02-28,4010,-2043191
TB-2025-02-5000,2025-02-28,5000,21810248
TB-2025-02-5100,2025-02-28,5100,87600000
TB-2025-02-5110,2025-02-28,5110,7008000
TB-2025-02-5200,2025-02-28,5200,600000
TB-2025-02-5300,2025-02-28,5300,0
TB-2025-02-5400,2025-02-28,5400,7000
TB-2025-03-1000,2025-03-31,1000,1038160901
TB-2025-03-1100,2025-03-31,1100,90505527
TB-2025-03-1110,2025-03-31,1110,26792165
TB-2025-03-1200,2025-03-31,1200,56975598
TB-2025-03-1300,2025-03-31,1300,2700000
TB-2025-03-1500,2025-03-31,1500,5400000
TB-2025-03-1510,2025-03-31,1510,-150000
TB-2025-03-2000,2025-03-31,2000,-11490798
TB-2025-03-2100,2025-03-31,2100,-12264000
TB-2025-03-2200,2025-03-31,2200,-45900000
TB-2025-03-2300,2025-03-31,2300,0
TB-2025-03-3000,2025-03-31,3000,-1200000000
TB-2025-03-4000,2025-03-31,4000,-123300000
TB-2025-03-4010,2025-03-31,4010,-3126420
TB-2025-03-5000,2025-03-31,5000,32724527
TB-2025-03-5100,2025-03-31,5100,131400000
TB-2025-03-5110,2025-03-31,5110,10512000
TB-2025-03-5200,2025-03-31,5200,900000
TB-2025-03-5300,2025-03-31,5300,150000
TB-2025-03-5400,2025-03-31,5400,10500
TB-2025-04-1000,2025-04-30,1000,1008840980
TB-2025-04-1100,2025-04-30,1100,83490944
TB-2025-04-1110,2025-04-30,1110,39903758
TB-2025-04-1200,2025-04-30,1200,58833739
TB-2025-04-1300,2025-04-30,1300,2400000
TB-2025-04-1500,2025-04-30,1500,5400000
TB-2025-04-1510,2025-04-30,1510,-300000
TB-2025-04-2000,2025-04-30,2000,-11300091
TB-2025-04-2100,2025-04-30,2100,-12264000
TB-2025-04-2200,2025-04-30,2200,-40800000
TB-2025-04-2300,2025-04-30,2300,0
TB-2025-04-3000,2025-04-30,3000,-1200000000
TB-2025-04-4000,2025-04-30,4000,-164400000
TB-2025-04-4010,2025-04-30,4010,-4160402
TB-2025-04-5000,2025-04-30,5000,43625072
TB-2025-04-5100,2025-04-30,5100,175200000
TB-2025-04-5110,2025-04-30,5110,14016000
TB-2025-04-5200,2025-04-30,5200,1200000
TB-2025-04-5300,2025-04-30,5300,300000
TB-2025-04-5400,2025-04-30,5400,14000
TB-2025-05-1000,2025-05-31,1000,983789393
TB-2025-05-1100,2025-05-31,1100,90875205
TB-2025-05-1110,2025-05-31,1110,38284788
TB-2025-05-1200,2025-05-31,1200,57204112
TB-2025-05-1300,2025-05-31,1300,2100000
TB-2025-05-1500,2025-05-31,1500,5400000
TB-2025-05-1510,2025-05-31,1510,-450000
TB-2025-05-2000,2025-05-31,2000,-11551270
TB-2025-05-2100,2025-05-31,2100,-12264000
TB-2025-05-2200,2025-05-31,2200,-35700000
TB-2025-05-2300,2025-05-31,2300,0
TB-2025-05-3000,2025-05-31,3000,-1200000000
TB-2025-05-4000,2025-05-31,4000,-205500000
TB-2025-05-4010,2025-05-31,4010,-5236784
TB-2025-05-5000,2025-05-31,5000,54561056
